,Train Set,Test Set
count,1440000.0,1440000.0
mean,31.732936111111112,31.78161111111111
std,23.41301307314813,23.548426427591732
min,1.0,1.0
25%,8.0,8.0
50%,33.0,33.0
75%,51.0,51.0
max,90.0,90.0
