,Train Set,Test Set
count,480000.0,480000.0
mean,50516.909025,49598.08492291666
std,288502.9233362836,272368.91507129936
min,0.0,0.0
25%,90.0,88.0
50%,1585.0,1562.0
75%,7607.0,7395.0
max,8100293.0,6384285.0
