,Train Set,Test Set
count,480000.0,480000.0
mean,18.5475347622318,18.378055983157882
std,9.752983920493353,9.755367885393122
min,0.0,0.0
25%,12.0748299319728,11.8884797475013
50%,16.6096791162546,16.4115646258503
75%,23.4835600907029,23.2568027210884
max,95.9626512361915,95.9626512361915
