,Train Set,Test Set
count,1440000.0,1440000.0
mean,5832.141110618055,5816.336636659721
std,10956.60997086356,10938.638838742943
min,-1417.69,-1949.25
25%,81.91,82.17
50%,862.905,863.79
75%,5304.4025,5268.78
max,55575.02,55575.02
